0,	0,	0.0,	0.0
0.869000017643,	0.118840768933,	1.04806107412,	0.091088800604
0.867000043392,	0.11856726557,	1.0394252687,	0.114896419926
0.867000043392,	0.11856726557,	0.809491027862,	0.0557446273877
0.867000043392,	0.11856726557,	0.891113933533,	0.205956546055
0.867000043392,	0.11856726557,	0.685054277711,	0.198078206475
0.868000030518,	0.118704013526,	0.866001442142,	0.0914360204438
0.868000030518,	0.118704013526,	0.930164753757,	0.141341861672
0.867000043392,	0.11856726557,	0.724987724088,	0.0775182398602
0.869000017643,	0.118840768933,	1.10708009907,	0.0451866297686
0.864000022411,	0.118156991899,	1.0355768752,	0.0937224077789
0.866000056267,	0.118430502713,	0.882731951564,	0.130054114905
0.869000017643,	0.118840768933,	0.788923383411,	0.122334096994
0.866000056267,	0.118430502713,	0.830428079471,	0.121454938612
0.868000030518,	0.118704013526,	0.737863225558,	0.103030146747
0.870000064373,	0.11897752434,	0.738081845754,	0.138510433979
0.867000043392,	0.11856726557,	0.881741422185,	0.122346601856
0.867000043392,	0.11856726557,	0.894206554662,	0.210084257977
0.867000043392,	0.11856726557,	0.8292417711,	0.156380482272
0.869000017643,	0.118840768933,	0.752860730572,	0.0961344808673
0.869000017643,	0.118840768933,	0.757947644494,	0.142981156407
0.869000017643,	0.118840768933,	0.75623075649,	0.187771360973
0.867000043392,	0.11856726557,	0.924463593798,	0.133587179094
0.868000030518,	0.118704013526,	0.774702532486,	0.155860255687
0.867000043392,	0.11856726557,	0.778243955661,	0.0582145558805
0.868000030518,	0.118704013526,	0.890182657196,	0.0861745440093
0.866000056267,	0.118430502713,	0.855068187601,	0.10404324005
0.869000017643,	0.118840768933,	0.878147041511,	0.137638112189
0.864000022411,	0.118156991899,	-48.1320376414,	0.108124139128
0.869000017643,	0.118840768933,	0.713486765444,	0.0933613000873
0.867000043392,	0.11856726557,	0.913672749098,	0.0756537840215
0.869000017643,	0.118840768933,	0.789225297814,	0.156044753704
0.869000017643,	0.118840768933,	0.895828333822,	0.1649232894
0.867000043392,	0.11856726557,	0.702119672265,	0.134084533265
0.865000069141,	0.118293747306,	0.923152019195,	0.0940422263384
0.868000030518,	0.118704013526,	0.978057013907,	0.019568466651
0.867000043392,	0.11856726557,	0.89692339432,	0.00844851854584
0.869000017643,	0.118840768933,	0.734694544017,	0.0712017070519
0.870000064373,	0.11897752434,	0.853626948162,	0.220714827014
0.866000056267,	0.118430502713,	0.8698333429,	0.117450592063
0.869000017643,	0.118840768933,	1.02743569409,	0.171789146019
0.865000069141,	0.118293747306,	0.889508677373,	0.0940340260656
0.868000030518,	0.118704013526,	1.05385598382,	0.127344254555
0.867000043392,	0.11856726557,	0.710287046156,	0.231669250946
0.868000030518,	0.118704013526,	0.958635827778,	0.0885821330823
0.872000038624,	0.119251035154,	0.682630363519,	0.0960716073271
0.866000056267,	0.118430502713,	1.03879034343,	0.183484444379
0.869000017643,	0.118840768933,	1.04877605806,	0.13527291695
0.866000056267,	0.118430502713,	0.892832998633,	0.132476426198
0.865000069141,	0.118293747306,	0.816687120152,	0.0609323724343
0.870000064373,	0.11897752434,	0.792963712223,	0.0934413866679
0.869000017643,	0.118840768933,	0.707836897386,	0.172155674271
0.869000017643,	0.118840768933,	0.691407099218,	0.0648634128922
0.869000017643,	0.118840768933,	0.972476522549,	0.110352938377
0.866000056267,	0.118430502713,	0.915005017804,	0.192695067476
0.870000064373,	0.11897752434,	0.920430795455,	0.159747287642
0.868000030518,	0.118704013526,	0.743886451943,	0.066184710572
0.868000030518,	0.118704013526,	0.87436149696,	0.154312626205
0.869000017643,	0.118840768933,	0.957830679547,	0.116542816242
0.868000030518,	0.118704013526,	0.75497639037,	0.178973458153
0.867000043392,	0.11856726557,	0.808825639632,	0.0976060268523
0.869000017643,	0.118840768933,	0.97062407011,	0.0795360124509
0.864000022411,	0.118156991899,	0.80960156593,	0.0877450104693
0.869000017643,	0.118840768933,	1.02780291861,	0.136304334179
0.867000043392,	0.11856726557,	0.881636982331,	0.0791145563231
0.869000017643,	0.118840768933,	0.80191561637,	0.0638991389413
0.868000030518,	0.118704013526,	0.729072999272,	0.079284127515
0.867000043392,	0.11856726557,	0.82542097357,	0.027513487642
0.866000056267,	0.118430502713,	0.900264342767,	0.114000879882
0.867000043392,	0.11856726557,	0.820959226175,	0.233428771192
0.869000017643,	0.118840768933,	0.88033352719,	0.108265379966
0.868000030518,	0.118704013526,	0.718693565954,	0.114501984588
0.869000017643,	0.118840768933,	0.744956102427,	0.0758332571318
0.865000069141,	0.118293747306,	0.772353224674,	0.109415033474
0.870000064373,	0.11897752434,	0.882480816236,	0.173477039987
0.868000030518,	0.118704013526,	0.78298378991,	0.0910007711969
0.866000056267,	0.118430502713,	0.711208096256,	-0.000934821512387
0.868000030518,	0.118704013526,	0.864896289569,	0.0021237693341
0.868000030518,	0.118704013526,	0.797842304097,	0.196151136286
0.867000043392,	0.11856726557,	0.947980332163,	0.157267117688
0.866000056267,	0.118430502713,	0.78586712036,	0.108374668839
0.869000017643,	0.118840768933,	0.795407742303,	0.129280122233
0.863000035286,	0.118020236492,	0.717912961671,	0.130754269018
0.865000069141,	0.118293747306,	0.940014547249,	0.197956186194
0.866000056267,	0.118430502713,	1.02613447732,	0.105756454921
0.868000030518,	0.118704013526,	0.7670547967,	0.211961438147
0.866000056267,	0.118430502713,	0.781242342367,	0.143469434271
0.870000064373,	0.11897752434,	0.678097885899,	0.123900797654
0.867000043392,	0.11856726557,	0.866125736997,	0.0517987357534
0.869000017643,	0.118840768933,	0.911978896439,	0.266784066642
0.868000030518,	0.118704013526,	0.89382531177,	0.163662309675
0.867000043392,	0.11856726557,	0.764154900081,	0.176173272937
0.867000043392,	0.11856726557,	0.893384344189,	0.107810163017
0.867000043392,	0.11856726557,	0.741683949833,	0.0497102231636
0.868000030518,	0.118704013526,	0.87823802433,	0.0808432561248
0.865000069141,	0.118293747306,	1.0033381172,	0.0327998613974
0.866000056267,	0.118430502713,	0.974846853894,	0.107609705708
0.868000030518,	0.118704013526,	0.871454775506,	0.137214429226
0.868000030518,	0.118704013526,	1.02449839692,	0.132836141471
0.870000064373,	0.11897752434,	0.839959578678,	0.0848094721936
0.867000043392,	0.11856726557,	0.921328599712,	0.177419159274
0.870000064373,	0.11897752434,	0.962145176702,	0.129842435874
0.870000064373,	0.11897752434,	0.862275648072,	0.132848147051
0.869000017643,	0.118840768933,	0.810669560453,	0.0927715100496
0.866000056267,	0.118430502713,	0.861162307764,	0.145789306428
0.867000043392,	0.11856726557,	0.713101773495,	0.208738476815
0.870000064373,	0.11897752434,	0.815569130346,	0.17611311468
0.869000017643,	0.118840768933,	1.00939319962,	0.0779939719955
0.865000069141,	0.118293747306,	0.780580145634,	0.130256120961
0.866000056267,	0.118430502713,	0.754520653059,	0.112586485113
0.869000017643,	0.118840768933,	0.930934419584,	0.102432087241
0.868000030518,	0.118704013526,	0.736894983845,	0.0729313880979
0.865000069141,	0.118293747306,	0.801363278705,	0.0962437868841
0.870000064373,	0.11897752434,	0.684387908443,	0.0734337288853
0.867000043392,	0.11856726557,	0.668650539799,	0.092103123849
0.868000030518,	0.118704013526,	0.918955084401,	0.136250190517
0.868000030518,	0.118704013526,	0.875203656378,	0.0405512088299
0.863000035286,	0.118020236492,	0.932647642444,	0.191472717095
0.865000069141,	0.118293747306,	0.936481032139,	0.104677459012
0.870000064373,	0.11897752434,	0.826757977906,	0.0312403322447
0.870000064373,	0.11897752434,	0.921057287164,	0.0395818529027
0.867000043392,	0.11856726557,	0.866848815826,	0.129658577354
0.867000043392,	0.11856726557,	0.795030055881,	0.185239700118
0.867000043392,	0.11856726557,	0.929743593636,	0.150609509907
0.866000056267,	0.118430502713,	0.862443045478,	0.177108907878
0.868000030518,	0.118704013526,	0.808439170089,	0.082718574783
0.866000056267,	0.118430502713,	0.786431156311,	0.1424859312
0.867000043392,	0.11856726557,	0.827799126599,	0.133644086776
0.865000069141,	0.118293747306,	0.888809039767,	0.137074829226
0.867000043392,	0.11856726557,	0.859510289802,	0.14326983066
0.868000030518,	0.118704013526,	0.891601227635,	0.114644390681
0.868000030518,	0.118704013526,	0.857284781484,	0.131741714564
0.872000038624,	0.119251035154,	0.906570151048,	0.115838068556
0.868000030518,	0.118704013526,	0.710541248273,	0.119623381984
0.866000056267,	0.118430502713,	0.751919867077,	0.0834393271864
0.869000017643,	0.118840768933,	0.773096960346,	0.154518108447
0.867000043392,	0.11856726557,	0.862219186742,	0.148366807188
0.869000017643,	0.118840768933,	0.852141109567,	0.0135644560471
0.868000030518,	0.118704013526,	1.03760920239,	0.182087686783
0.870000064373,	0.11897752434,	0.926709947813,	0.120123341699
0.869000017643,	0.118840768933,	0.963530994141,	0.0424266938686
0.869000017643,	0.118840768933,	0.694098846849,	0.138509862373
0.866000056267,	0.118430502713,	0.88010517242,	0.120083751058
0.870000064373,	0.11897752434,	0.817953955691,	0.190923221247
0.869000017643,	0.118840768933,	0.791787810726,	0.0786586079327
0.870000064373,	0.11897752434,	0.955205598288,	-0.0302290123302
0.869000017643,	0.118840768933,	0.713277415555,	0.262178368057
0.866000056267,	0.118430502713,	0.719549394768,	0.157973467071
0.868000030518,	0.118704013526,	0.832304208868,	0.138144862475
0.868000030518,	0.118704013526,	0.911802840237,	0.172195179924
0.869000017643,	0.118840768933,	0.801008517898,	0.177946002541
0.868000030518,	0.118704013526,	0.702104081927,	0.125815549988
0.869000017643,	0.118840768933,	0.898157485504,	0.107414155609
0.868000030518,	0.118704013526,	0.971455166337,	0.18665350628
0.870000064373,	0.11897752434,	0.822471240174,	0.101200848027
0.866000056267,	0.118430502713,	0.894709358325,	0.164748636602
0.866000056267,	0.118430502713,	0.888103419024,	0.070219103936
0.869000017643,	0.12263815105,	0.723864282033,	0.145874328098
0.870000064373,	0.11897752434,	1.03874080011,	0.115051190571
0.872000038624,	0.119251035154,	0.739248358339,	0.133686568582
0.865000069141,	0.118293747306,	0.785310406366,	0.207638505443
0.869000017643,	0.118840768933,	0.866751630859,	0.134461209164
0.868000030518,	0.118704013526,	1.05771851623,	0.10063369735
0.870000064373,	0.11897752434,	0.837286340788,	0.144774716755
0.869000017643,	0.118840768933,	0.915535496219,	0.095003530813
0.870000064373,	0.11897752434,	1.10193854834,	0.209816778275
0.867000043392,	0.11856726557,	0.688418500631,	0.138079536474
0.867000043392,	0.11856726557,	0.764588691875,	0.1077169882
0.864000022411,	0.118156991899,	0.722254816488,	0.0991570298923
0.866000056267,	0.118430502713,	0.718027934205,	0.12778180172
0.869000017643,	0.118840768933,	0.6696393341,	0.172357000277
0.870000064373,	0.11897752434,	0.923408802851,	0.056586106375
0.869000017643,	0.118840768933,	0.780149586537,	0.111584915349
0.864000022411,	0.118156991899,	0.978898706846,	0.0564650360436
0.868000030518,	0.118704013526,	0.91060292216,	0.219848713491
0.867000043392,	0.11856726557,	0.834135243095,	0.125707362799
0.869000017643,	0.118840768933,	0.93465011173,	0.11241993993
0.872000038624,	0.119251035154,	0.866326261589,	0.23698187172
0.872000038624,	0.119251035154,	0.985677081484,	0.125450355674
0.865000069141,	0.118293747306,	0.962292589268,	0.0992292424828
0.869000017643,	0.118840768933,	0.831533997295,	0.132730204074
0.868000030518,	0.118704013526,	0.8595198883,	0.237074046203
0.868000030518,	0.118704013526,	0.992869253813,	0.151754099701
0.869000017643,	0.118840768933,	0.84925622606,	0.180148939943
0.869000017643,	0.118840768933,	0.963795417168,	0.0628197942069
0.869000017643,	0.118840768933,	0.817500534725,	0.173995544184
0.867000043392,	0.11856726557,	0.971211194398,	0.181423864053
0.868000030518,	0.118704013526,	0.996658996359,	0.136493247477
0.869000017643,	0.118840768933,	0.953984053544,	0.0254559657501
0.870000064373,	0.11897752434,	0.842927605261,	0.0661390726445
0.870000064373,	0.11897752434,	0.920671498121,	0.0127174397741
0.870000064373,	0.11897752434,	0.848567104517,	0.106489698078
0.870000064373,	0.11897752434,	0.978976826148,	0.151939532212
0.870000064373,	0.11897752434,	0.873311789897,	0.189914104336
0.867000043392,	0.11856726557,	0.895120135989,	0.0675116047942
0.867000043392,	0.11856726557,	0.942862382563,	0.0511752530064
0.869000017643,	0.118840768933,	0.745836360572,	0.110494186453
0.869000017643,	0.12263815105,	0.82843619519,	0.148066251679
0.867000043392,	0.11856726557,	0.977941009207,	0.134127441174
0.868000030518,	0.118704013526,	0.891583457986,	0.192002147486
0.870000064373,	0.11897752434,	0.718054416188,	0.151533203832
0.865000069141,	0.118293747306,	0.825590302716,	0.0425392518378
0.863000035286,	0.118020236492,	0.734746450244,	0.187747144127
0.868000030518,	0.118704013526,	1.00728984848,	0.159064026524
0.873000025749,	0.119387790561,	0.7291951375,	0.0810541541903
0.867000043392,	0.11856726557,	0.888462547976,	0.054164677824
0.872000038624,	0.119251035154,	0.979714571853,	0.127913567443
0.866000056267,	0.118430502713,	0.896718531773,	0.121307311878
0.868000030518,	0.118704013526,	0.789580438788,	0.025114269246
0.872000038624,	0.119251035154,	0.829028350675,	0.133056580331
0.869000017643,	0.118840768933,	0.906479047918,	0.0365026107342
0.869000017643,	0.118840768933,	0.843073173263,	0.0899277809432
0.868000030518,	0.118704013526,	0.792497643677,	0.0548617689065
0.867000043392,	0.11856726557,	0.782614548826,	0.106239165133
0.870000064373,	0.11897752434,	0.872142452267,	0.0757044753993
0.867000043392,	0.11856726557,	0.840909949259,	0.123843561325
0.868000030518,	0.118704013526,	0.926694773141,	0.212600801632
0.866000056267,	0.118430502713,	1.04279030933,	0.24223659443
0.866000056267,	0.119376569986,	1.00051939259,	0.0918988348561
0.868000030518,	0.118704013526,	0.958125260368,	0.142448084637
0.872000038624,	0.119251035154,	0.696664243955,	0.134214861512
0.867000043392,	0.11856726557,	0.794677894709,	0.121034731575
0.870000064373,	0.11897752434,	0.888648895031,	0.131560207466
0.868000030518,	0.118704013526,	0.891537092669,	0.143371811096
0.868000030518,	0.118704013526,	0.723360926915,	0.0808128479004
0.867000043392,	0.11856726557,	0.735151557084,	0.115342133951
0.870000064373,	0.11897752434,	0.993924573796,	0.0612363455632
0.872000038624,	0.119251035154,	0.93329633056,	0.122385456462
0.870000064373,	0.11897752434,	1.03579815101,	0.143310717615
0.870000064373,	0.11897752434,	0.79331256469,	0.116790341447
0.869000017643,	0.118840768933,	0.88714621303,	0.173032536129
0.867000043392,	0.11856726557,	1.04817341585,	0.104420893512
0.870000064373,	0.11897752434,	0.816676363694,	0.137327110666
0.870000064373,	0.11897752434,	0.959649795019,	0.144970277124
0.868000030518,	0.118704013526,	0.762089011513,	0.154236080615
0.863000035286,	0.118020236492,	0.768202547922,	0.0483375120043
0.870000064373,	0.11897752434,	0.843272913913,	0.108586164576
0.868000030518,	0.118704013526,	0.776211009929,	0.10987639519
0.869000017643,	0.118840768933,	0.829874146409,	0.191505661241
0.874000012875,	0.119524553418,	0.774845379969,	0.161252635666
0.870000064373,	0.11897752434,	0.838014883004,	0.110312720063
0.866000056267,	0.118430502713,	0.812693984548,	0.103721795007
0.867000043392,	0.11856726557,	0.842597376178,	0.115438284975
0.864000022411,	0.118156991899,	0.806765993507,	0.12404278914
0.917000055313,	0.107372947037,	0.744005684592,	0.231786489615
0.917000055313,	0.107372947037,	0.977191913574,	0.0120875375543
0.917000055313,	0.107372947037,	0.767459289955,	0.242332860501
0.917000055313,	0.107372947037,	1.04809191559,	0.0961777279318
0.917000055313,	0.107372947037,	0.823891895843,	0.11750803124
0.917000055313,	0.107372947037,	0.918996620719,	0.148352665261
0.883000016212,	0.111108951271,	0.900655910639,	0.195601050014
0.884000062943,	0.121857836843,	0.884592134001,	0.00119298807482
0.882000029087,	0.121582143009,	0.937373379318,	0.103581464517
0.882000029087,	0.121582143009,	0.898342996996,	0.0248979229012
0.878000020981,	0.121030755341,	0.85106729838,	0.154899684149
0.877000033855,	0.120892897248,	0.862180501365,	0.163827634077
0.880000054836,	0.121306441724,	0.864772799494,	0.125701475516
0.877000033855,	0.120892897248,	0.712115973267,	0.121473201513
0.878000020981,	0.121030755341,	0.916837682365,	0.175206620743
0.881000041962,	0.121444292367,	0.683240952282,	0.00898055206581
0.882000029087,	0.121582143009,	0.81886375991,	0.181829968966
0.881000041962,	0.121444292367,	0.920230606657,	0.0929854709263
0.878000020981,	0.121030755341,	0.981891495082,	0.164517517847
0.882000029087,	0.121582143009,	1.05138661616,	0.10310208451
0.881000041962,	0.121444292367,	0.813872108145,	0.110733195852
0.883000016212,	0.121719993651,	0.981437497597,	0.146305390228
0.881000041962,	0.121444292367,	0.811992524195,	0.169145051675
0.880000054836,	0.121306441724,	0.929657941309,	0.0621724613208
0.882000029087,	0.121582143009,	0.932702032707,	0.132769734232
0.881000041962,	0.121444292367,	0.866017279684,	0.161177642103
0.882000029087,	0.121582143009,	1.0279072285,	0.0733288893478
0.880000054836,	0.121306441724,	1.09380647443,	0.157213161025
0.881000041962,	0.121444292367,	0.910172264877,	0.190436489607
