0,	0,	0.0,	0.0
0.867000043392,	0.11856726557,	0.84916495615,	0.120647784845
0.870000064373,	0.11897752434,	0.944324739383,	0.0860311782853
0.868000030518,	0.118704013526,	0.718995232381,	0.0298620628201
0.870000064373,	0.11897752434,	0.809537454087,	0.0701164229364
0.869000017643,	0.118840768933,	0.776503806866,	0.116004209215
0.868000030518,	0.118704013526,	0.911145088804,	0.126693406301
0.867000043392,	0.11856726557,	1.02419366336,	0.158233507671
0.870000064373,	0.11897752434,	0.797475805583,	0.142206462078
0.867000043392,	0.11856726557,	0.953307167402,	0.0654656408844
0.869000017643,	0.118840768933,	0.891136229944,	0.082055072942
0.872000038624,	0.119251035154,	0.816265678651,	0.091783165455
0.864000022411,	0.118156991899,	1.01204287162,	0.219253073973
0.866000056267,	0.118430502713,	0.801909628558,	0.0289261957594
0.867000043392,	0.11856726557,	0.930794287286,	0.122146139958
0.867000043392,	0.11856726557,	0.805988049946,	0.138934715647
0.866000056267,	0.118430502713,	0.650917076844,	0.137339464276
0.870000064373,	0.11897752434,	0.762803309785,	0.200725682453
0.866000056267,	0.118430502713,	0.955449442609,	0.128707606542
0.870000064373,	0.11897752434,	1.00603795709,	0.0583466856844
0.867000043392,	0.11856726557,	0.842134239874,	0.0755863044593
0.866000056267,	0.118430502713,	0.923804662185,	0.0941755516059
0.868000030518,	0.118704013526,	0.932930984678,	0.195670709936
0.874000012875,	0.119524553418,	0.956061569161,	0.141742950952
0.869000017643,	0.118840768933,	0.867504950207,	0.119616313234
0.872000038624,	0.119251035154,	0.765824274213,	0.0874640810928
0.867000043392,	0.11856726557,	0.939412587357,	0.13718534083
0.866000056267,	0.118430502713,	0.975469205679,	0.123991441979
0.870000064373,	0.11897752434,	0.922274454736,	0.192637375893
0.866000056267,	0.118430502713,	0.894338989297,	0.181545587199
0.867000043392,	0.11856726557,	0.979791864542,	0.0706101185681
0.867000043392,	0.11856726557,	0.791130360807,	0.160397370431
0.872000038624,	0.119251035154,	0.826154898692,	0.133431896309
0.869000017643,	0.118840768933,	0.799747132294,	0.217665617804
0.867000043392,	0.11856726557,	0.960838656916,	0.215226773997
0.869000017643,	0.118840768933,	0.836513836906,	0.132612557661
0.867000043392,	0.11856726557,	0.613327523998,	0.0542998378992
0.867000043392,	0.11856726557,	0.888087057734,	0.112987292679
0.867000043392,	0.11856726557,	1.06087267026,	0.128390858685
0.870000064373,	0.11897752434,	0.673966659035,	0.181385749115
0.868000030518,	0.118704013526,	1.05116124897,	0.0198312817139
